country,year,age_group,sex,indicator,percentage
Malaysia,2012,13-15,Male,Seriously injured,43.7
Malaysia,2012,13-15,Male,Had fights,38.5
Malaysia,2012,13-15,Male,Bullied,24.0
Malaysia,2012,13-15,Male,Currently drink alcohol,9.3
Malaysia,2012,13-15,Male,Smoking currently,17.1
Malaysia,2012,13-15,Male,Attempted suicide,6.6
Malaysia,2012,13-15,Male,No close friends,3.6
Malaysia,2012,13-15,Male,Understanding parents,32.6
Malaysia,2012,13-15,Female,Seriously injured,28.4
Malaysia,2012,13-15,Female,Had fights,21.9
Malaysia,2012,13-15,Female,Bullied,17.8
Malaysia,2012,13-15,Female,Currently drink alcohol,5.7
Malaysia,2012,13-15,Female,Smoking currently,1.9
Malaysia,2012,13-15,Female,Attempted suicide,7.4
Malaysia,2012,13-15,Female,No close friends,2.8
Malaysia,2012,13-15,Female,Understanding parents,32.3
Malaysia,2012,16-17,Male,Seriously injured,39.7
Malaysia,2012,16-17,Male,Had fights,29.1
Malaysia,2012,16-17,Male,Bullied,12.9
Malaysia,2012,16-17,Male,Currently drink alcohol,13.6
Malaysia,2012,16-17,Male,Smoking currently,27.0
Malaysia,2012,16-17,Male,Attempted suicide,5.7
Malaysia,2012,16-17,Male,No close friends,3.2
Malaysia,2012,16-17,Male,Understanding parents,31.4
Malaysia,2012,16-17,Female,Seriously injured,26.4
Malaysia,2012,16-17,Female,Had fights,16.4
Malaysia,2012,16-17,Female,Bullied,12.0
Malaysia,2012,16-17,Female,Currently drink alcohol,7.4
Malaysia,2012,16-17,Female,Smoking currently,2.5
Malaysia,2012,16-17,Female,Attempted suicide,6.7
Malaysia,2012,16-17,Female,No close friends,2.7
Malaysia,2012,16-17,Female,Understanding parents,29.6
