country,code,year,condition,prevalence
Brunei,BRN,1990,Depression,2.58
Brunei,BRN,1991,Depression,2.56
Brunei,BRN,1992,Depression,2.55
Brunei,BRN,1993,Depression,2.54
Brunei,BRN,1994,Depression,2.54
Brunei,BRN,1995,Depression,2.54
Brunei,BRN,1996,Depression,2.54
Brunei,BRN,1997,Depression,2.55
Brunei,BRN,1998,Depression,2.55
Brunei,BRN,1999,Depression,2.55
Brunei,BRN,2000,Depression,2.56
Brunei,BRN,2001,Depression,2.56
Brunei,BRN,2002,Depression,2.56
Brunei,BRN,2003,Depression,2.56
Brunei,BRN,2004,Depression,2.56
Brunei,BRN,2005,Depression,2.56
Brunei,BRN,2006,Depression,2.56
Brunei,BRN,2007,Depression,2.55
Brunei,BRN,2008,Depression,2.54
Brunei,BRN,2009,Depression,2.53
Brunei,BRN,2010,Depression,2.52
Brunei,BRN,2011,Depression,2.52
Brunei,BRN,2012,Depression,2.52
Brunei,BRN,2013,Depression,2.52
Brunei,BRN,2014,Depression,2.53
Brunei,BRN,2015,Depression,2.54
Brunei,BRN,2016,Depression,2.55
Brunei,BRN,2017,Depression,2.56
Cambodia,KHM,1990,Depression,3.16
Cambodia,KHM,1991,Depression,3.18
Cambodia,KHM,1992,Depression,3.2
Cambodia,KHM,1993,Depression,3.21
Cambodia,KHM,1994,Depression,3.22
Cambodia,KHM,1995,Depression,3.22
Cambodia,KHM,1996,Depression,3.22
Cambodia,KHM,1997,Depression,3.22
Cambodia,KHM,1998,Depression,3.21
Cambodia,KHM,1999,Depression,3.2
Cambodia,KHM,2000,Depression,3.19
Cambodia,KHM,2001,Depression,3.18
Cambodia,KHM,2002,Depression,3.18
Cambodia,KHM,2003,Depression,3.17
Cambodia,KHM,2004,Depression,3.16
Cambodia,KHM,2005,Depression,3.15
Cambodia,KHM,2006,Depression,3.15
Cambodia,KHM,2007,Depression,3.14
Cambodia,KHM,2008,Depression,3.13
Cambodia,KHM,2009,Depression,3.12
Cambodia,KHM,2010,Depression,3.12
Cambodia,KHM,2011,Depression,3.12
Cambodia,KHM,2012,Depression,3.11
Cambodia,KHM,2013,Depression,3.11
Cambodia,KHM,2014,Depression,3.1
Cambodia,KHM,2015,Depression,3.1
Cambodia,KHM,2016,Depression,3.1
Cambodia,KHM,2017,Depression,3.09
Indonesia,IDN,1990,Depression,2.63
Indonesia,IDN,1991,Depression,2.63
Indonesia,IDN,1992,Depression,2.62
Indonesia,IDN,1993,Depression,2.62
Indonesia,IDN,1994,Depression,2.62
Indonesia,IDN,1995,Depression,2.62
Indonesia,IDN,1996,Depression,2.62
Indonesia,IDN,1997,Depression,2.62
Indonesia,IDN,1998,Depression,2.62
Indonesia,IDN,1999,Depression,2.62
Indonesia,IDN,2000,Depression,2.62
Indonesia,IDN,2001,Depression,2.63
Indonesia,IDN,2002,Depression,2.63
Indonesia,IDN,2003,Depression,2.63
Indonesia,IDN,2004,Depression,2.63
Indonesia,IDN,2005,Depression,2.64
Indonesia,IDN,2006,Depression,2.63
Indonesia,IDN,2007,Depression,2.63
Indonesia,IDN,2008,Depression,2.62
Indonesia,IDN,2009,Depression,2.61
Indonesia,IDN,2010,Depression,2.61
Indonesia,IDN,2011,Depression,2.61
Indonesia,IDN,2012,Depression,2.61
Indonesia,IDN,2013,Depression,2.62
Indonesia,IDN,2014,Depression,2.62
Indonesia,IDN,2015,Depression,2.63
Indonesia,IDN,2016,Depression,2.63
Indonesia,IDN,2017,Depression,2.64
Laos,LAO,1990,Depression,2.9
Laos,LAO,1991,Depression,2.93
Laos,LAO,1992,Depression,2.95
Laos,LAO,1993,Depression,2.96
Laos,LAO,1994,Depression,2.97
Laos,LAO,1995,Depression,2.98
Laos,LAO,1996,Depression,2.97
Laos,LAO,1997,Depression,2.95
Laos,LAO,1998,Depression,2.92
Laos,LAO,1999,Depression,2.9
Laos,LAO,2000,Depression,2.89
Laos,LAO,2001,Depression,2.89
Laos,LAO,2002,Depression,2.88
Laos,LAO,2003,Depression,2.88
Laos,LAO,2004,Depression,2.88
Laos,LAO,2005,Depression,2.88
Laos,LAO,2006,Depression,2.88
Laos,LAO,2007,Depression,2.87
Laos,LAO,2008,Depression,2.87
Laos,LAO,2009,Depression,2.87
Laos,LAO,2010,Depression,2.87
Laos,LAO,2011,Depression,2.87
Laos,LAO,2012,Depression,2.87
Laos,LAO,2013,Depression,2.88
Laos,LAO,2014,Depression,2.88
Laos,LAO,2015,Depression,2.89
Laos,LAO,2016,Depression,2.9
Laos,LAO,2017,Depression,2.91
Malaysia,MYS,1990,Depression,3.22
Malaysia,MYS,1991,Depression,3.22
Malaysia,MYS,1992,Depression,3.23
Malaysia,MYS,1993,Depression,3.23
Malaysia,MYS,1994,Depression,3.23
Malaysia,MYS,1995,Depression,3.23
Malaysia,MYS,1996,Depression,3.22
Malaysia,MYS,1997,Depression,3.22
Malaysia,MYS,1998,Depression,3.21
Malaysia,MYS,1999,Depression,3.21
Malaysia,MYS,2000,Depression,3.21
Malaysia,MYS,2001,Depression,3.24
Malaysia,MYS,2002,Depression,3.29
Malaysia,MYS,2003,Depression,3.34
Malaysia,MYS,2004,Depression,3.39
Malaysia,MYS,2005,Depression,3.41
Malaysia,MYS,2006,Depression,3.41
Malaysia,MYS,2007,Depression,3.4
Malaysia,MYS,2008,Depression,3.39
Malaysia,MYS,2009,Depression,3.39
Malaysia,MYS,2010,Depression,3.39
Malaysia,MYS,2011,Depression,3.39
Malaysia,MYS,2012,Depression,3.4
Malaysia,MYS,2013,Depression,3.42
Malaysia,MYS,2014,Depression,3.44
Malaysia,MYS,2015,Depression,3.46
Malaysia,MYS,2016,Depression,3.49
Malaysia,MYS,2017,Depression,3.52
Myanmar,MMR,1990,Depression,2.24
Myanmar,MMR,1991,Depression,2.25
Myanmar,MMR,1992,Depression,2.25
Myanmar,MMR,1993,Depression,2.25
Myanmar,MMR,1994,Depression,2.25
Myanmar,MMR,1995,Depression,2.25
Myanmar,MMR,1996,Depression,2.25
Myanmar,MMR,1997,Depression,2.24
Myanmar,MMR,1998,Depression,2.24
Myanmar,MMR,1999,Depression,2.23
Myanmar,MMR,2000,Depression,2.23
Myanmar,MMR,2001,Depression,2.24
Myanmar,MMR,2002,Depression,2.24
Myanmar,MMR,2003,Depression,2.24
Myanmar,MMR,2004,Depression,2.24
Myanmar,MMR,2005,Depression,2.24
Myanmar,MMR,2006,Depression,2.25
Myanmar,MMR,2007,Depression,2.25
Myanmar,MMR,2008,Depression,2.25
Myanmar,MMR,2009,Depression,2.25
Myanmar,MMR,2010,Depression,2.25
Myanmar,MMR,2011,Depression,2.26
Myanmar,MMR,2012,Depression,2.26
Myanmar,MMR,2013,Depression,2.27
Myanmar,MMR,2014,Depression,2.27
Myanmar,MMR,2015,Depression,2.28
Myanmar,MMR,2016,Depression,2.29
Myanmar,MMR,2017,Depression,2.3
Philippines,PHL,1990,Depression,2.95
Philippines,PHL,1991,Depression,2.94
Philippines,PHL,1992,Depression,2.93
Philippines,PHL,1993,Depression,2.92
Philippines,PHL,1994,Depression,2.9
Philippines,PHL,1995,Depression,2.89
