country,code,year,condition,prevalence
Malaysia,MYS,1990,Depression,3.22
Malaysia,MYS,1991,Depression,3.22
Malaysia,MYS,1992,Depression,3.23
Malaysia,MYS,1993,Depression,3.23
Malaysia,MYS,1994,Depression,3.23
Malaysia,MYS,1995,Depression,3.23
Malaysia,MYS,1996,Depression,3.22
Malaysia,MYS,1997,Depression,3.22
Malaysia,MYS,1998,Depression,3.21
Malaysia,MYS,1999,Depression,3.21
Malaysia,MYS,2000,Depression,3.21
Malaysia,MYS,2001,Depression,3.24
Malaysia,MYS,2002,Depression,3.29
Malaysia,MYS,2003,Depression,3.34
Malaysia,MYS,2004,Depression,3.39
Malaysia,MYS,2005,Depression,3.41
Malaysia,MYS,2006,Depression,3.41
Malaysia,MYS,2007,Depression,3.4
Malaysia,MYS,2008,Depression,3.39
Malaysia,MYS,2009,Depression,3.39
Malaysia,MYS,2010,Depression,3.39
Malaysia,MYS,2011,Depression,3.39
Malaysia,MYS,2012,Depression,3.4
Malaysia,MYS,2013,Depression,3.42
Malaysia,MYS,2014,Depression,3.44
Malaysia,MYS,2015,Depression,3.46
Malaysia,MYS,2016,Depression,3.49
Malaysia,MYS,2017,Depression,3.52
Malaysia,MYS,1990,Anxiety,4.21
Malaysia,MYS,1991,Anxiety,4.2
Malaysia,MYS,1992,Anxiety,4.2
Malaysia,MYS,1993,Anxiety,4.21
Malaysia,MYS,1994,Anxiety,4.21
Malaysia,MYS,1995,Anxiety,4.22
Malaysia,MYS,1996,Anxiety,4.24
Malaysia,MYS,1997,Anxiety,4.29
Malaysia,MYS,1998,Anxiety,4.35
Malaysia,MYS,1999,Anxiety,4.41
Malaysia,MYS,2000,Anxiety,4.44
Malaysia,MYS,2001,Anxiety,4.45
Malaysia,MYS,2002,Anxiety,4.46
Malaysia,MYS,2003,Anxiety,4.47
Malaysia,MYS,2004,Anxiety,4.48
Malaysia,MYS,2005,Anxiety,4.48
Malaysia,MYS,2006,Anxiety,4.48
Malaysia,MYS,2007,Anxiety,4.48
Malaysia,MYS,2008,Anxiety,4.48
Malaysia,MYS,2009,Anxiety,4.48
Malaysia,MYS,2010,Anxiety,4.48
Malaysia,MYS,2011,Anxiety,4.48
Malaysia,MYS,2012,Anxiety,4.46
Malaysia,MYS,2013,Anxiety,4.45
Malaysia,MYS,2014,Anxiety,4.43
Malaysia,MYS,2015,Anxiety,4.4
Malaysia,MYS,2016,Anxiety,4.37
Malaysia,MYS,2017,Anxiety,4.34
